gene,gene_name,tpm
ENSG00000173846,PLK3,3.5433666964237442
ENSG00000117425,PTCH2,1.0009765384833276
ENSG00000070785,EIF2B3,42.551722349007775
ENSG00000126107,HECTD3,7.386150400381086
ENSG00000126088,UROD,330.14919042209397
ENSG00000162415,ZSWIM5,0.5635304140016189
ENSG00000132781,MUTYH,11.907665742869817
ENSG00000132773,TOE1,13.330692850482949
ENSG00000070759,TESK2,0.820211483403204
ENSG00000236624,CCDC163P,2.366933915050605
ENSG00000132763,MMACHC,3.0347824885918553
ENSG00000117450,PRDX1,596.1095326511255
ENSG00000117448,AKR1A1,59.99063951296367
ENSG00000132780,"NASP",110.22527486379097
ENSG00000159588,CCDC17,0.3002133293621436
ENSG00000159592,GPBP1L1,33.34252584247355
ENSG00000159596,TMEM69,47.56138297239569
ENSG00000197429,IPP,5.304565140559751
ENSG00000086015,MAST2,6.492411868142061
ENSG00000117461,PIK3R3,3.8852542014798375
ENSG00000085998,POMGNT1,13.189213005611133
ENSG00000171357,LURAP1,0.3113618349617988
ENSG00000085999,RAD54L,10.811926906789418
ENSG00000132128,LRRC41,19.38831300023846
ENSG00000173660,UQCRH,2045.983834391884
ENSG00000117481,NSUN4,12.017558155209276
ENSG00000117480,FAAH,0.30897286947615843
ENSG00000225667,LINC00505,0.615822214076192
ENSG00000197587,DMBX1,3.582917347241569
ENSG00000079277,MKNK1,19.537490622786223
ENSG00000142961,MOB3C,1.8357872554098897
ENSG00000123472,ATPAF1,27.115023702628058
ENSG00000159658,EFCAB14,29.90931699899878
ENSG00000224805,LINC00853,3.424980184579787
ENSG00000162366,PDZK1IP1,0.5810494942296485
ENSG00000162367,TAL1,22.023341930899818
ENSG00000226252,RP1-18D14.7,0.35754850101751323
ENSG00000123473,STIL,11.141604143807795
ENSG00000162368,CMPK1,67.95359235782216
ENSG00000237424,FOXD2-AS1,4.769171431166785
ENSG00000186564,FOXD2,0.3700242096647464
ENSG00000185104,FAF1,32.32535742680977
ENSG00000123080,CDKN2C,41.56561048465733
ENSG00000123091,RNF11,18.41865845367797
ENSG00000085832,EPS15,26.826224319475084
ENSG00000227070,RP11-191G24.1,2.4829314614089224
ENSG00000117859,OSBPL9,77.96680847057912
ENSG00000078618,NRD1,107.25552532453044
ENSG00000117862,TXNDC12,45.05588905917795
ENSG00000198841,KTI12,16.237267524678767
ENSG00000134717,BTF3L4,103.61978529599526
ENSG00000157077,ZFYVE9,4.406048677349444
ENSG00000154222,CC2D1B,3.674759798133967
ENSG00000085840,ORC1,14.319459120928558
ENSG00000134748,PRPF38A,74.65649862931008
ENSG00000134744,ZCCHC11,30.076544582993606
ENSG00000162377,COA7,37.12346188441376
ENSG00000162378,ZYG11B,8.949330149818454
ENSG00000203995,ZYG11A,2.9386929879472077
ENSG00000116171,SCP2,76.21835117569987
ENSG00000157184,CPT2,7.02276220595423
ENSG00000162384,C1orf123,32.459139494005626
ENSG00000259818,RP5-1024G6.7,0.3214485781233916
ENSG00000162385,MAGOH,118.10036686689979
ENSG00000226754,RP5-1024G6.5,0.5452150119450424
ENSG00000270172,RP5-1024G6.8,0.6922691096166849
ENSG00000157193,LRP8,4.7906721205375495
ENSG00000058804,NDC1,16.954753492199433
ENSG00000058799,YIPF1,12.154525509719326
ENSG00000081870,HSPB11,127.46219172390548
ENSG00000116212,LRRC42,20.128095978958434
ENSG00000116209,TMEM59,101.34310118817997
ENSG00000116205,TCEANC2,3.8831306766037126
ENSG00000248835,AL357673.1,2.211916599093495
ENSG00000215883,CYB5RL,10.605148671976767
ENSG00000116221,MRPL37,158.32072434253203
ENSG00000157216,SSBP3,24.232073242679125
ENSG00000243725,TTC4,3.820752133367547
ENSG00000162396,PARS2,6.2057360098652135
ENSG00000116133,DHCR24,27.55538967381444
ENSG00000233203,RP11-67L3.4,0.6559037461130477
ENSG00000169174,PCSK9,1.209081976343558
ENSG00000162402,USP24,12.343519223694432
ENSG00000162600,OMA1,10.038963851879991
ENSG00000162601,MYSM1,8.215121423898305
ENSG00000177606,JUN,19.234357446719407
ENSG00000172456,FGGY,2.205015143246089
ENSG00000226476,RP11-776H12.1,1.0264588369968253
ENSG00000162599,NFIA,15.997574654286181
ENSG00000162604,TM2D1,25.403462652471468
ENSG00000162607,USP1,59.77855246596071
ENSG00000116641,DOCK7,3.1897998045489655
ENSG00000125703,ATG4C,6.365265816184088
ENSG00000230798,RP4-792G4.2,2.287832613414957
ENSG00000088035,ALG6,5.458520694078799
ENSG00000142856,ITGB3BP,43.85875191026259
ENSG00000203965,EFCAB7,1.8655166036756368
ENSG00000116652,DLEU2L,1.1398019772599866
ENSG00000162437,RAVER2,0.8995782256483685
ENSG00000162434,JAK1,32.12202991992082
ENSG00000162433,AK4,32.724314662911716
ENSG00000116675,DNAJC6,8.498081113641936
ENSG00000116678,LEPR,25.11253974444237
ENSG00000213625,LEPROT,76.48219914155838
ENSG00000152763,WDR78,0.8977201413817593
ENSG00000198160,MIER1,20.66587865383704
ENSG00000116704,SLC35D1,2.516376978207888
ENSG00000142864,SERBP1,433.12767120549955
ENSG00000116717,GADD45A,77.12748526329081
ENSG00000172380,GNG12,0.9309002175712092
ENSG00000162595,DIRAS3,0.7626108711383188
ENSG00000024526,DEPDC1,16.85627502606915
ENSG00000066557,LRRC40,6.363673172526995
ENSG00000116754,SRSF11,126.35769334771106
ENSG00000118454,ANKRD13C,6.267849112491863
ENSG00000197568,HHLA3,12.534371021936147
ENSG00000116761,CTH,6.110177390439596
ENSG00000050628,PTGER3,19.443259206408186
ENSG00000132485,ZRANB2,61.86438477553428
ENSG00000162620,LRRIQ3,1.045836001491464
ENSG00000254685,FPGT,4.725639171206227
ENSG00000116791,CRYZ,22.535642307264926
ENSG00000162623,TYW3,76.12465064054086
ENSG00000137968,SLC44A5,1.5156658803340761
ENSG00000117054,ACADM,41.89820756838037
ENSG00000137955,RABGGTB,51.31312054728919
ENSG00000142892,PIGK,9.21078915019132
ENSG00000036549,ZZZ3,12.362630947579555
ENSG00000077254,USP33,12.971817146417857
ENSG00000180488,FAM73A,2.546106326473635
ENSG00000162613,FUBP1,51.10129894089574
