cell,target,assay,effect_sign,background,pos_overlap,pos_total,pos_frac,bg_overlap,bg_total,bg_frac,odds_ratio,log2_OR,p_value,FDR
K562,MAX,TF ChIP-seq,neg,all,7,18,0.3888888888888889,144,599,0.24040066777963273,2.010732323232323,1.0397102008528776,0.1654216576374667,0.6101422009961633
K562,KLF13,TF ChIP-seq,neg,all,3,18,0.16666666666666666,46,599,0.07679465776293823,2.4043478260869566,1.4264393073442498,0.16517481601837403,0.6101422009961633
K562,IFI16,TF ChIP-seq,neg,all,1,18,0.05555555555555555,5,599,0.008347245409015025,6.988235294117647,3.211780864884548,0.1633751730537442,0.6101422009961633
K562,ZNF766,TF ChIP-seq,neg,all,5,18,0.2777777777777778,87,599,0.14524207011686144,2.2634836427939877,1.2547411990343083,0.16739023949287227,0.6129613805890071
K562,SKIL,TF ChIP-seq,neg,all,5,18,0.2777777777777778,88,599,0.14691151919866444,2.2333916083916083,1.23552899613616,0.1698438778442661,0.6175038130195103
K562,ZNF511,TF ChIP-seq,neg,all,2,18,0.1111111111111111,24,599,0.04006677796327212,2.9947916666666665,1.831496249545931,0.17288453647496418,0.6197058384912449
K562,ZNF318,TF ChIP-seq,neg,all,3,18,0.16666666666666666,47,599,0.07846410684474124,2.348936170212766,1.3931336576185749,0.17252788961691848,0.6197058384912449
K562,ZBTB7A,TF ChIP-seq,neg,all,5,18,0.2777777777777778,90,599,0.15025041736227046,2.175213675213675,1.1976365655564374,0.1751654063079947,0.6234908518235616
K562,PHF20,TF ChIP-seq,neg,all,2,18,0.1111111111111111,25,599,0.041736227045075125,2.87,1.7712717162035265,0.18357030383599568,0.6399814017296014
K562,CBFB,TF ChIP-seq,neg,all,2,18,0.1111111111111111,25,599,0.041736227045075125,2.87,1.7712717162035265,0.18357030383599568,0.6399814017296014
K562,CHD2,TF ChIP-seq,neg,all,2,18,0.1111111111111111,25,599,0.041736227045075125,2.87,1.7712717162035265,0.18357030383599568,0.6399814017296014
K562,DEAF1,TF ChIP-seq,neg,all,5,18,0.2777777777777778,94,599,0.15692821368948248,2.0662847790507364,1.1238689741557708,0.18739353588328775,0.6488660528203637
K562,ARID3A,TF ChIP-seq,neg,all,3,18,0.16666666666666666,50,599,0.08347245409015025,2.196,1.2969227998681654,0.19518930958737427,0.6712929633781993
K562,ATF2,TF ChIP-seq,neg,all,3,18,0.16666666666666666,51,599,0.08514190317195326,2.149019607843137,1.2660058948907034,0.20292696664614296,0.6873431558534536
K562,FOXP1,TF ChIP-seq,neg,all,2,18,0.1111111111111111,27,599,0.045075125208681135,2.6481481481481484,1.6573061449885556,0.20525768111930248,0.6873431558534536
K562,PRDM10,TF ChIP-seq,neg,all,5,18,0.2777777777777778,98,599,0.1636060100166945,1.9662480376766092,1.052598187629633,0.20159761135661575,0.6873431558534536
K562,MXI1,TF ChIP-seq,neg,all,2,18,0.1111111111111111,27,599,0.045075125208681135,2.6481481481481484,1.6573061449885556,0.20525768111930248,0.6873431558534536
K562,MAZ,TF ChIP-seq,neg,all,5,18,0.2777777777777778,100,599,0.1669449081803005,1.9192307692307693,1.0178332930873184,0.20938889777823252,0.6961217428155523
K562,THAP7,TF ChIP-seq,neg,all,1,18,0.05555555555555555,7,599,0.011686143572621035,4.974789915966387,2.759460231953293,0.2119820631363666,0.6961217428155523
K562,ELK1,TF ChIP-seq,neg,all,1,18,0.05555555555555555,7,599,0.011686143572621035,4.974789915966387,2.759460231953293,0.2119820631363666,0.6961217428155523
K562,NRF1,TF ChIP-seq,neg,all,5,18,0.2777777777777778,101,599,0.1686143572621035,1.8964204112718963,1.0006578936868484,0.21344777840275575,0.6964417897884787
K562,MAFF,TF ChIP-seq,neg,all,3,18,0.16666666666666666,53,599,0.08848080133555926,2.060377358490566,1.2057693109414864,0.21864782968481664,0.7043781348707068
K562,FOXM1,TF ChIP-seq,neg,all,3,18,0.16666666666666666,53,599,0.08848080133555926,2.060377358490566,1.2057693109414864,0.21864782968481664,0.7043781348707068
K562,NR2C2,TF ChIP-seq,neg,all,6,18,0.3333333333333333,117,599,0.19532554257095158,2.0598290598290596,1.0944517139568104,0.22491470224057658,0.7140887113676668
K562,ATF4,TF ChIP-seq,neg,all,3,18,0.16666666666666666,54,599,0.09015025041736227,2.0185185185185186,1.1764096732174099,0.22662105315570386,0.7140887113676668
K562,SP1,TF ChIP-seq,neg,all,2,18,0.1111111111111111,29,599,0.048414023372287146,2.456896551724138,1.5509740024557492,0.22727381383411008,0.7140887113676668
K562,SIN3A,TF ChIP-seq,neg,all,2,18,0.1111111111111111,29,599,0.048414023372287146,2.456896551724138,1.5509740024557492,0.22727381383411008,0.7140887113676668
