experiment,lab,n_audit_error,n_audit_notcompliant,n_audit_warning
ENCSR260OWP,"Bing Ren, UCSD",0,2,6
ENCSR257XVY,"Kevin White, UChicago",0,0,4
ENCSR222TVA,"Michael Snyder, Stanford",0,0,4
ENCSR257AFV,"Michael Snyder, Stanford",0,0,8
ENCSR235PYI,"Michael Snyder, Stanford",0,0,4
ENCSR186OBR,"Bing Ren, UCSD",0,8,8
ENCSR265EDV,"Bing Ren, UCSD",0,0,6
ENCSR220YXI,"Xiang-Dong Fu, UCSD",0,5,5
ENCSR221GAN,"Richard Myers, HAIB",0,0,2
ENCSR271TFS,"Bing Ren, UCSD",0,6,6
ENCSR222MYK,"Xiang-Dong Fu, UCSD",0,0,8
ENCSR219BXP,"Michael Snyder, Stanford",0,0,1
ENCSR189TRZ,"Michael Snyder, Stanford",0,0,2
ENCSR264CZJ,"Michael Snyder, Stanford",0,0,6
ENCSR200JYP,"Michael Snyder, Stanford",0,0,8
ENCSR199HGP,"Michael Snyder, Stanford",0,0,0
ENCSR195QFV,"Richard Myers, HAIB",0,1,1
ENCSR263DFP,"Michael Snyder, Stanford",0,0,8
ENCSR249BHQ,"Michael Snyder, Stanford",0,0,6
ENCSR193ZLW,"Michael Snyder, Stanford",0,0,0
ENCSR239ZLZ,"Kevin White, UChicago",0,0,2
ENCSR194IJN,"Kevin White, UChicago",0,0,2
ENCSR214PDW,"Michael Snyder, Stanford",0,0,4
ENCSR211LTF,"Michael Snyder, Stanford",0,0,2
