cellset,term_name,experiment,assay,target,investigated_as,biosample_summary,lab,n_audit_error,n_audit_notcompliant,n_audit_warning,endogenous_tag,keep,exclude_reason,file,output_type,preferred_default,file_size,md5sum,href
K562,K562,ENCSR163IUV,TF ChIP-seq,MAZ,transcription factor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens MAZ,"Richard Myers, HAIB",0,0,1,3xFLAG,True,,ENCFF704UVS,IDR thresholded peaks,True,594331.0,8a9c89a09f387dd00fd1d68caf733fd2,https://www.encodeproject.org/files/ENCFF704UVS/@@download/ENCFF704UVS.bed.gz
K562,K562,ENCSR971EWR,TF ChIP-seq,ETV5,transcription factor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ETV5,"Richard Myers, HAIB",0,0,6,3xFLAG,True,,ENCFF604LXR,IDR thresholded peaks,True,310164.0,19235dc3d6e1d64ca5632a5da41fbd5e,https://www.encodeproject.org/files/ENCFF604LXR/@@download/ENCFF604LXR.bed.gz
K562,K562,ENCSR873LYH,TF ChIP-seq,MLX,transcription factor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens MLX,"Michael Snyder, Stanford",0,0,0,eGFP,True,,ENCFF171ZNN,conservative IDR thresholded peaks,True,37839.0,598681e8dbb93ed49fc4294bbd72c868,https://www.encodeproject.org/files/ENCFF171ZNN/@@download/ENCFF171ZNN.bed.gz
K562,K562,ENCSR551KXD,TF ChIP-seq,RHOXF2B,transcription factor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens RHOXF2B,"Michael Snyder, Stanford",0,0,0,eGFP,True,,ENCFF727JXN,conservative IDR thresholded peaks,True,54600.0,ab6be9a5dcd3728b22ca94af5bff9273,https://www.encodeproject.org/files/ENCFF727JXN/@@download/ENCFF727JXN.bed.gz
K562,K562,ENCSR189TRZ,TF ChIP-seq,TCF12,transcription factor,Homo sapiens K562,"Michael Snyder, Stanford",0,0,2,,True,,ENCFF952JIK,optimal IDR thresholded peaks,True,294522.0,52ed0332d740140a177782f40e0872bc,https://www.encodeproject.org/files/ENCFF952JIK/@@download/ENCFF952JIK.bed.gz
K562,K562,ENCSR024LKA,TF ChIP-seq,HDAC3,chromatin remodeler;cofactor,Homo sapiens K562,"Michael Snyder, Stanford",0,2,7,,True,,ENCFF742LSD,optimal IDR thresholded peaks,True,203453.0,a652dacc98f08a6d68539358b6889050,https://www.encodeproject.org/files/ENCFF742LSD/@@download/ENCFF742LSD.bed.gz
K562,K562,ENCSR264CZJ,TF ChIP-seq,THRA,transcription factor,Homo sapiens K562,"Michael Snyder, Stanford",0,0,6,,True,,ENCFF309DMZ,optimal IDR thresholded peaks,True,35340.0,5fdfd9eb0058a8399efabab7c738d564,https://www.encodeproject.org/files/ENCFF309DMZ/@@download/ENCFF309DMZ.bed.gz
K562,K562,ENCSR603REQ,TF ChIP-seq,PCBP2,RNA binding protein,Homo sapiens K562,"Xiang-Dong Fu, UCSD",0,2,9,,True,,ENCFF941XZW,optimal IDR thresholded peaks,True,50682.0,8bf0dd9d3ce9826e344eaad858457ff8,https://www.encodeproject.org/files/ENCFF941XZW/@@download/ENCFF941XZW.bed.gz
K562,K562,ENCSR200JYP,TF ChIP-seq,ZNF316,transcription factor,Homo sapiens K562,"Michael Snyder, Stanford",0,0,8,,True,,ENCFF056SEM,optimal IDR thresholded peaks,True,354148.0,fe638884c76bb59409ba977becdde421,https://www.encodeproject.org/files/ENCFF056SEM/@@download/ENCFF056SEM.bed.gz
K562,K562,ENCSR817QKV,TF ChIP-seq,EP400,chromatin remodeler,Homo sapiens K562,"Michael Snyder, Stanford",0,0,7,,True,,ENCFF225BXA,optimal IDR thresholded peaks,True,620939.0,484ba0bb3a975de9a58cca6606d4af79,https://www.encodeproject.org/files/ENCFF225BXA/@@download/ENCFF225BXA.bed.gz
K562,K562,ENCSR674SCQ,TF ChIP-seq,ZNF354B,transcription factor,Homo sapiens K562 stably expressing ZNF354B,"Michael Snyder, Stanford",0,0,6,eGFP,True,,ENCFF533OBT,optimal IDR thresholded peaks,True,91678.0,8a565b68c91fb99cf36e3acb754ad3aa,https://www.encodeproject.org/files/ENCFF533OBT/@@download/ENCFF533OBT.bed.gz
